,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Sibiti,29,CG,1562188498,70,-3.69,13.35,72.66,2.1
375,Berezovyy,0,RU,1562188499,81,51.67,135.7,60.96,0.74
376,Adrar,5,DZ,1562188501,10,27.87,-0.29,105.8,5.82
377,Gladstone,18,AU,1562188503,68,-23.84,151.26,64.4,9.17
378,Arima,20,TT,1562188504,58,10.64,-61.28,87.8,14.99
379,Cockburn Town,0,TC,1562188506,76,21.46,-71.14,82.92,10.25
380,Tarakan,100,ID,1562188507,88,3.3,117.63,75.36,3.96
381,Carballo,0,ES,1562188509,73,43.21,-8.69,73.4,3.36
382,Zhaotong,100,CN,1562188510,98,27.34,103.71,58.8,3.22
383,Sibolga,100,ID,1562188512,78,1.74,98.78,81.48,6.8
384,Khatanga,100,RU,1562188513,94,71.98,102.47,52.14,6.93
385,Constitucion,75,MX,1562188514,26,23.99,-104.67,79.0,5.82
386,Smithers,90,CA,1562188311,56,54.78,-127.17,71.6,9.17
387,Clarksville,40,US,1562188344,74,36.53,-87.36,89.01,6.93
388,North Bend,90,US,1562188518,68,43.41,-124.22,75.0,12.75
389,Xingyi,80,CN,1562188519,97,24.19,102.82,58.98,3.94
390,Taoudenni,11,ML,1562188520,12,22.68,-3.98,103.26,11.25
391,Tangjiazhuang,100,CN,1562188521,90,33.27,105.76,57.0,0.72
392,Kralendijk,40,BQ,1562188273,66,12.15,-68.27,86.0,14.99
393,Gumla,100,IN,1562188524,95,23.04,84.54,73.02,5.26
394,Kisangani,38,CD,1562188525,75,0.52,25.21,75.72,2.28
395,High Rock,75,BS,1562188526,66,26.63,-78.28,87.8,1.12
396,Batticaloa,100,LK,1562188528,79,7.71,81.69,77.16,1.88
397,Hambantota,89,LK,1562188263,83,6.12,81.12,82.56,13.51
398,Cahors,0,FR,1562188530,71,44.45,1.44,75.99,1.99
399,Yulara,0,AU,1562188531,41,-25.24,130.99,41.0,8.05
400,Auxerre,0,FR,1562188532,52,47.8,3.58,69.8,10.29
401,Gweta,0,BW,1562188534,20,-20.21,25.26,63.84,11.21
402,Klaksvik,100,FO,1562188535,100,62.23,-6.59,50.0,10.29
403,Khandyga,74,RU,1562188536,49,62.65,135.58,54.84,9.15
404,Batagay-Alyta,100,RU,1562188538,95,67.8,130.41,35.94,1.54
405,Sarangani,69,PH,1562188539,74,5.4,125.46,81.12,4.63
406,Duki,0,PK,1562188540,27,30.15,68.58,87.96,7.45
407,Ekhabi,100,RU,1562188541,86,53.51,142.97,49.8,15.86
408,Pangoa,0,PE,1562188543,53,-12.12,-73.0,84.54,3.22
409,Vigeland,0,NO,1562188544,54,58.46,8.52,53.6,6.93
410,Petauke,0,ZM,1562188545,66,-14.25,31.33,66.36,11.56
411,Chabahar,20,IR,1562188546,79,25.29,60.65,86.0,0.56
412,Sinop,0,TR,1562188547,61,42.03,35.15,69.42,4.81
413,Touros,2,BR,1562188262,79,-5.2,-35.46,80.22,16.11
414,Den Helder,0,NL,1562188550,66,52.96,4.76,57.99,8.05
415,Dhidhdhoo,84,MV,1562188398,79,6.88,73.1,82.74,11.61
416,Lavrentiya,0,RU,1562188552,57,65.58,-170.99,59.88,8.5
417,Biak,95,ID,1562188553,98,-0.91,122.88,62.4,4.25
418,Kenai,1,US,1562188555,59,60.55,-151.26,77.0,8.05
419,Beringovskiy,0,RU,1562188556,47,63.05,179.32,64.92,7.54
420,Abnub,0,EG,1562188557,33,27.27,31.15,86.0,9.17
421,Tromso,75,NO,1562188559,81,69.65,18.96,50.0,8.05
422,Lagoa,0,PT,1562188560,77,37.14,-8.45,69.01,13.87
423,Pandan,100,PH,1562188561,71,11.72,122.09,82.92,2.13
424,Goundam,50,ML,1562188563,23,16.42,-3.66,98.4,20.11
425,Tiruchchendur,84,IN,1562188564,78,8.48,78.12,80.22,16.33
426,Koungheul,0,SN,1562188565,35,13.98,-14.8,95.52,7.38
427,Casimcea,0,RO,1562188567,88,44.71,28.38,68.0,4.7
428,Polson,20,US,1562188550,55,47.69,-114.16,69.01,5.82
429,Yangambi,100,CD,1562188569,79,0.77,24.47,75.72,2.06
430,Avera,1,US,1562188570,39,33.19,-82.53,100.4,8.05
431,Lazaro Cardenas,75,MX,1562188386,18,28.39,-105.62,93.2,16.11
432,Mount Isa,0,AU,1562188573,32,-20.73,139.49,53.6,5.82
433,San Quintin,100,PH,1562188574,92,17.54,120.52,75.0,3.65
434,Scarborough,0,GB,1562188564,67,54.28,-0.41,63.0,4.7
435,Codajas,89,BR,1562188576,65,-3.84,-62.06,83.28,2.06
436,Faya,40,SA,1562188577,53,18.39,42.45,75.2,8.05
437,Shieli,31,KZ,1562188579,39,44.18,66.74,80.58,7.78
438,Tiznit,0,MA,1562188500,85,29.7,-9.73,66.72,15.35
439,Ossora,33,RU,1562188581,72,59.24,163.07,59.34,3.44
440,Inhambane,0,MZ,1562188582,77,-23.87,35.38,58.08,3.04
441,Harper,40,US,1562188584,58,30.3,-99.24,87.01,10.29
442,Mkushi,1,ZM,1562188585,88,-13.61,29.4,56.1,3.58
443,Xichang,100,CN,1562188586,89,27.88,102.25,57.72,3.42
444,Kangaatsiaq,0,GL,1562188588,85,68.31,-53.46,42.6,6.06
445,Sola,34,TZ,1562188589,44,-3.17,33.8,71.76,6.62
446,Sysert,0,RU,1562188590,93,56.5,60.81,59.0,4.47
447,Tucumcari,1,US,1562188591,16,35.17,-103.73,98.6,8.05
448,Sao Joao da Barra,0,BR,1562188593,42,-21.64,-41.05,86.0,3.71
449,Casino,23,AU,1562188376,93,-28.86,153.05,68.0,6.93
450,Ajaccio,0,FR,1562188595,73,41.93,8.74,77.0,5.82
451,Alofi,75,NU,1562188596,73,-19.06,-169.92,75.2,17.22
452,Skjervoy,100,NO,1562188598,90,70.03,20.97,45.66,2.28
453,Hirado,90,JP,1562188599,100,33.32,129.49,72.0,5.82
454,Ouadda,100,CF,1562188600,90,8.07,22.4,68.52,1.54
455,Narwar,100,IN,1562188601,70,25.64,77.91,84.0,7.09
456,Morgan City,71,US,1562188602,74,29.7,-91.21,93.99,8.59
457,Teahupoo,75,PF,1562188604,57,-17.83,-149.27,80.6,6.93
458,Bundaberg,40,AU,1562188584,82,-24.87,152.35,60.8,10.29
459,Aosta,0,IT,1562188606,64,45.74,7.32,69.8,4.7
460,La Ronge,75,CA,1562188555,62,55.1,-105.3,57.2,9.17
461,Port Hardy,75,CA,1562188608,82,50.7,-127.42,59.0,6.93
462,Ithaca,90,US,1562188610,48,42.44,-76.5,88.0,3.36
463,Kokopo,78,PG,1562188611,96,-4.34,152.27,71.58,2.1
464,Ballitoville,0,ZA,1562188612,87,-29.54,31.21,53.01,1.12
465,Port-Gentil,40,GA,1562188321,88,-0.72,8.78,73.4,11.41
466,Griffith,0,AU,1562188615,100,-34.29,146.06,44.6,14.99
467,Bergama,0,TR,1562188616,45,39.12,27.18,84.2,13.87
468,Coahuayana,98,MX,1562188617,57,18.62,-100.35,89.22,0.78
469,Lima,90,PE,1562188618,77,-12.06,-77.04,64.4,6.93
470,Pimenta Bueno,0,BR,1562188620,51,-11.68,-61.19,85.98,4.61
471,Langarud,0,IR,1562188621,83,37.2,50.15,73.4,3.85
472,Dakoro,100,NE,1562188623,19,14.51,6.76,101.46,14.12
473,Oksfjord,75,NO,1562188624,100,70.24,22.35,48.2,5.82
474,Miedzyrzecz,0,PL,1562188625,47,52.44,15.58,59.0,2.24
475,Tocopilla,100,CL,1562188626,84,-22.09,-70.2,57.9,11.68
476,Menongue,0,AO,1562188627,38,-14.66,17.68,53.58,4.7
477,Auki,100,NG,1562188629,62,12.18,6.51,82.92,7.16
478,Aksarka,0,RU,1562188630,67,66.56,67.8,68.16,7.16
479,Lawrenceburg,20,US,1562188461,62,35.24,-87.33,91.0,9.17
480,Mangai,75,CD,1562188633,44,-4.07,19.59,81.3,0.4
481,Yatou,75,CM,1562188634,94,3.63,9.81,77.0,1.12
482,Fairbanks,90,US,1562188471,53,64.84,-147.72,71.6,3.36
483,Cutervo,0,PE,1562188637,39,-6.38,-78.82,73.38,4.45
484,Aykhal,90,RU,1562188638,66,65.95,111.51,48.2,4.47
485,Puerto del Rosario,40,ES,1562188597,73,28.5,-13.86,71.6,16.11
486,Primorsk,100,RU,1562188640,65,60.37,28.62,53.01,10.0
487,Dingle,100,PH,1562188642,87,11.0,122.67,74.64,4.99
488,Wakkanai,0,JP,1562188643,92,45.41,141.67,55.02,7.94
489,Brae,100,GB,1562188644,100,60.4,-1.35,51.8,17.22
490,Kavaratti,100,IN,1562188645,79,10.57,72.64,82.92,17.11
491,Kazachinskoye,26,RU,1562188647,96,57.69,93.28,63.48,2.1
492,Bom Jesus,10,BR,1562188648,42,-9.08,-44.36,80.76,3.65
493,Baruun-Urt,47,MN,1562188649,57,46.68,113.28,64.02,4.99
494,Igarka,0,RU,1562188651,64,67.47,86.57,67.08,2.19
495,Bell Ville,0,AR,1562188652,37,-32.63,-62.69,50.7,1.9
496,Panguna,98,PG,1562188653,79,-6.32,155.48,80.94,6.6
497,San Roque,0,ES,1562188654,60,36.21,-5.38,71.6,12.75
498,Bilma,5,NE,1562188656,28,18.69,12.92,94.8,14.38
499,Kadiri,93,IN,1562188657,66,14.11,78.16,76.62,15.46
500,Nampula,40,MZ,1562188658,100,-15.12,39.26,68.0,6.93
501,Senneterre,75,CA,1562188660,30,48.39,-77.24,86.0,4.7
502,Nouadhibou,0,MR,1562188661,73,20.93,-17.03,69.8,18.34
503,Jacareacanga,97,BR,1562188662,61,-6.22,-57.76,84.0,1.74
504,Sinaloa,5,MX,1562188663,13,32.55,-115.28,102.99,2.24
505,Segou,0,SN,1562188664,66,12.41,-12.29,87.8,6.93
506,Bethal,0,ZA,1562188666,65,-26.46,29.47,36.0,1.54
507,Callaguip,87,PH,1562188667,79,18.07,120.49,84.9,14.18
508,Bondo,95,CD,1562188668,93,3.81,23.69,69.24,2.71
509,Montargis,0,FR,1562188670,55,48.0,2.74,69.01,8.05
510,Egvekinot,19,RU,1562188671,45,66.32,-179.17,62.4,7.99
511,Tambovka,26,RU,1562188673,66,47.32,47.38,75.36,5.48
512,Seevetal,0,DE,1562188674,67,53.4,10.02,57.2,9.17
513,Fort Nelson,75,CA,1562188675,42,58.81,-122.69,68.0,2.24
514,Porto Walter,12,BR,1562188587,49,-8.27,-72.74,88.86,3.98
515,Rudnogorsk,61,RU,1562188677,61,57.27,103.75,51.6,4.25
516,Ravar,0,IR,1562188679,28,31.27,56.81,76.62,2.21
517,Whitianga,100,NZ,1562188680,99,-36.83,175.7,61.0,4.0
518,Kathmandu,75,NP,1562188681,88,27.71,85.32,73.4,3.36
519,Naze,100,NG,1562188682,97,5.43,7.07,74.28,3.89
520,Vilhena,40,BR,1562188673,45,-12.74,-60.15,86.0,10.29
521,Girona,0,ES,1562188685,64,41.98,2.82,82.0,3.36
522,Jaciara,33,BR,1562188686,50,-15.95,-54.98,79.32,3.74
523,Roald,75,NO,1562188687,87,62.58,6.12,46.4,21.92
524,Palmer,0,AU,1562188688,81,-34.85,139.16,50.0,3.36
525,Alakurtti,100,RU,1562188690,95,66.96,30.34,53.01,3.18
526,Makurdi,100,NG,1562188691,92,7.73,8.54,76.62,5.01
527,Kilifi,20,KE,1562188692,78,-3.63,39.85,77.0,9.17
528,Kirovskiy,82,RU,1562188693,96,45.09,133.51,58.26,6.04
529,Riyadh,0,SA,1562188695,9,24.63,46.72,95.0,6.93
530,Garachine,79,PA,1562188696,79,8.06,-78.36,80.94,5.23
531,Cabo San Lucas,5,MX,1562188470,54,22.89,-109.91,89.01,12.75
532,North Platte,20,US,1562188698,49,41.12,-100.77,90.0,11.41
533,Farmington,1,US,1562188495,12,36.73,-108.21,90.0,6.93
534,Butler,1,US,1562188701,66,41.43,-84.87,87.8,4.0
